Key	First	Last	Age	Appearance	Sex	Height	File	Notes
1	Fred	Flintstone	37	1960-09-30 00:00:00.0	1	1.8		
2	Wilma	Flintstone	35	1960-09-30 00:00:00.0	2	1.6		
3	Barney	Rubble	36	1960-09-30 00:00:00.0	1	1.7		
4	Betty	Rubble	34	1960-09-30 00:00:00.0	2	1.6		
5	Dino	Flintstone	5	1960-09-30 00:00:00.0	1	1.0		
6	Hoppy	Rubble	3	1964-09-30 00:00:00.0	1	0.8		
7	Baby Puss	Flintstone	4	1960-09-30 00:00:00.0	2	1.2		
8	The Great	Gazoo		1965-10-26 00:00:00.0	1	0.7		
9	Sam	Slate	52		1	1.3		
10	ümlaut!	Schmidt	27					
23	Carly	Rauch	1				People.xls	
32	Adam	Flintstone	51			2.0		
